,20200929,20201002,20201022,20201023,20201120,20201122,20201224,20201230,20210127,20210203,20210906
場,3.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,,1.0
塞,,,,,,,,,1.0,,
填,,,,,,,,,,,1.0
塾,,,,,,,,,,,1.0
境,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0
墓,,,,,,1.0,,,,,
増,1.0,,2.0,1.0,1.0,,,1.0,1.0,,2.0
壁,,,,1.0,,2.0,,,2.0,,
士,1.0,,1.0,,,,,,,,
声,,,,,,,,,,1.0,
売,,5.0,6.0,3.0,3.0,1.0,1.0,,,1.0,
変,,,,1.0,,1.0,1.0,8.0,1.0,2.0,1.0
夏,,,,1.0,,,,,,,
夕,,1.0,1.0,1.0,1.0,,1.0,,,,
外,2.0,3.0,,4.0,3.0,2.0,,,,5.0,2.0
多,1.0,,2.0,1.0,2.0,,,,2.0,5.0,
夜,,,,1.0,,,,,,,1.0
夢,1.0,,,,1.0,,,,,,1.0
大,4.0,11.0,7.0,12.0,7.0,7.0,4.0,13.0,5.0,2.0,6.0
天,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,1.0
太,,,,,,,,,,1.0,
夫,,,,,,,,,1.0,,
央,,1.0,,,,,,,,,
失,,2.0,,,,,1.0,,,,
奇,,,,,,,2.0,,,,
奈,,,,1.0,,,,,,,1.0
奨,,,,2.0,,,,,,1.0,
奪,,,,,,,,1.0,,,
女,,1.0,1.0,,1.0,1.0,3.0,,2.0,2.0,1.0
好,1.0,1.0,1.0,1.0,2.0,2.0,,,,,
妙,,,,,1.0,1.0,,,,,
妨,,,,,,,,,,1.0,
妻,,,,,,,,,1.0,,
始,,1.0,3.0,,2.0,,,1.0,2.0,,
委,,,,,,1.0,,,,,
威,,1.0,,,,,,,,,
婚,,,,,,,1.0,,,,
婦,,,,,,,,,,1.0,
媛,,,1.0,,,,1.0,,,,
嫌,,,,,,,,,1.0,,
子,1.0,3.0,,1.0,2.0,1.0,1.0,,2.0,2.0,1.0
字,,1.0,,,2.0,1.0,2.0,,1.0,,1.0
存,,,,,,,1.0,,1.0,1.0,
季,,,,,,,,,2.0,,
孤,,,,,,,,,,1.0,
学,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,,8.0
宅,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,,1.0,1.0
宇,,,1.0,,,,,,,1.0,
守,,,,,,6.0,,2.0,1.0,1.0,1.0
安,4.0,1.0,1.0,1.0,4.0,,4.0,,3.0,,
完,1.0,1.0,,1.0,,,1.0,,,1.0,3.0
宏,,,,,,,,1.0,,,
官,,,,1.0,1.0,2.0,1.0,,1.0,,
宙,,,1.0,,,,,,,1.0,
定,1.0,2.0,,3.0,2.0,1.0,4.0,3.0,1.0,1.0,
実,3.0,,,,,1.0,6.0,,1.0,,1.0
客,,1.0,3.0,2.0,,,,,1.0,,
宣,,,,,,,,,,,1.0
室,3.0,,2.0,1.0,1.0,,,,,,
宮,1.0,,1.0,,,,,1.0,,,
害,,2.0,1.0,,,,,,,,
家,1.0,1.0,,1.0,,,3.0,,2.0,,2.0
容,,,,,,,1.0,,,1.0,
宿,,,,,1.0,,1.0,,2.0,,1.0
寄,,1.0,,,,,,,,,1.0
密,1.0,,5.0,,,,,,2.0,1.0,
富,1.0,1.0,,,,,1.0,,2.0,,1.0
察,,,,,,,1.0,,,,
審,,,1.0,,,,,,,,
寺,,,,,,,,1.0,1.0,,
対,4.0,3.0,4.0,3.0,2.0,2.0,6.0,2.0,1.0,3.0,3.0
寿,,1.0,,,,,,,,,
専,,,,,,,,,,,1.0
将,,,1.0,,1.0,1.0,,1.0,,,
導,1.0,2.0,1.0,1.0,,2.0,2.0,,,,
小,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,3.0,2.0
少,,,,,,1.0,,,1.0,1.0,
尽,1.0,,,,,,,1.0,,,
尾,,,,,,,,,1.0,,
局,,,,,,,,,,,1.0
居,,1.0,,,,,,,,,
屋,,1.0,,,,,,,,,1.0
展,,,,1.0,,,,2.0,,,1.0
層,,2.0,,,,,1.0,,1.0,,
山,2.0,2.0,1.0,,1.0,,4.0,4.0,3.0,1.0,1.0
岐,,,,2.0,,,,,,,
岡,1.0,3.0,,2.0,,,2.0,1.0,2.0,2.0,1.0
岩,,,1.0,1.0,,,1.0,,,,
